auc,binary_accuracy,f1_score,loss,precision,recall,val_auc,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0.9752453565597534,0.9097843766212463,0.9074562788009644,0.19260774552822113,0.9303148984909058,0.8859135508537292,0.9736874103546143,0.9071922302246094,0.9043842554092407,0.19786755740642548,0.931441068649292,0.879089891910553
0.9752709865570068,0.9097961783409119,0.9074670076370239,0.19251136481761932,0.9303079843521118,0.8859466314315796,0.9736035466194153,0.9064638614654541,0.9044758081436157,0.1984512209892273,0.9230047464370728,0.8869118690490723
0.9753006100654602,0.9098556041717529,0.9075314402580261,0.19238518178462982,0.930366575717926,0.8860102295875549,0.9737998247146606,0.9067951440811157,0.9048529267311096,0.1981593817472458,0.9230101704597473,0.8876285552978516
0.975325345993042,0.90992671251297,0.9076079726219177,0.1922800987958908,0.9304425120353699,0.8860799670219421,0.9744530320167542,0.9081224799156189,0.9061807990074158,0.19560067355632782,0.9246436953544617,0.8886691927909851
0.9753490686416626,0.9099817276000977,0.9076709747314453,0.1921941339969635,0.9304322600364685,0.8862103223800659,0.9744614958763123,0.9081597924232483,0.9056224822998047,0.195395827293396,0.930221676826477,0.8825193643569946
0.9753745794296265,0.9100416898727417,0.9077351093292236,0.19209229946136475,0.9304881691932678,0.8862780332565308,0.9744777083396912,0.9077649116516113,0.9062831997871399,0.19570858776569366,0.9200512170791626,0.8931398391723633
0.9753950834274292,0.9100726246833801,0.9077667593955994,0.19201920926570892,0.9305137395858765,0.8863165974617004,0.9745017886161804,0.9078810811042786,0.9062408208847046,0.1955772340297699,0.9215964078903198,0.8916149139404297
0.9754196405410767,0.9101216197013855,0.9078118801116943,0.1919267326593399,0.930590033531189,0.8863381743431091,0.9743223190307617,0.9077999591827393,0.905614972114563,0.19601470232009888,0.9264770150184631,0.8859027624130249
0.9754393100738525,0.9101465344429016,0.9078431725502014,0.19185121357440948,0.9305583834648132,0.8864270448684692,0.9742096662521362,0.9077000617980957,0.9051995277404785,0.19640180468559265,0.9292865991592407,0.8825573921203613
0.9754644632339478,0.9102330803871155,0.907931387424469,0.19175969064235687,0.9306439757347107,0.8865193128585815,0.97426438331604,0.9073272347450256,0.9058485627174377,0.19675451517105103,0.9194808602333069,0.8928403854370117
