auc,binary_accuracy,f1_score,loss,precision,recall,val_auc,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0.9673057794570923,0.8958311080932617,0.8905399441719055,0.22280719876289368,0.937616765499115,0.8480708599090576,0.9705810546875,0.9011605978012085,0.8973458409309387,0.21023774147033691,0.9321762323379517,0.8652772307395935
0.9674102067947388,0.8960984349250793,0.8908414840698242,0.22243821620941162,0.937597393989563,0.8486637473106384,0.9724685549736023,0.9036415815353394,0.8994934558868408,0.20355673134326935,0.938665509223938,0.8637202382087708
0.9674643874168396,0.8961423635482788,0.8908851146697998,0.22224460542201996,0.9376916289329529,0.8486604690551758,0.9721720814704895,0.9020457863807678,0.9016280770301819,0.20976801216602325,0.9045383334159851,0.8989647030830383
0.9675341248512268,0.8962394595146179,0.8910006880760193,0.22205646336078644,0.9377379417419434,0.8488206267356873,0.9724753499031067,0.904141902923584,0.9008080959320068,0.2034992128610611,0.9320712685585022,0.8718212246894836
0.9675858616828918,0.8963907957077026,0.8911794424057007,0.22187410295009613,0.9376881718635559,0.8491962552070618,0.9722400307655334,0.9009888172149658,0.8951606750488281,0.20578621327877045,0.949722945690155,0.8468061685562134
0.9676117897033691,0.8963743448257446,0.8911816477775574,0.22172115743160248,0.9375203847885132,0.8493345975875854,0.9718509316444397,0.9008320569992065,0.8950023055076599,0.20711645483970642,0.9494592547416687,0.8467365503311157
0.9676513671875,0.8965187072753906,0.8913154602050781,0.22165215015411377,0.9378631114959717,0.8492892980575562,0.9721039533615112,0.9010035991668701,0.8951124548912048,0.20554490387439728,0.9502946734428406,0.846271276473999
0.9676859974861145,0.8965715169906616,0.8913701772689819,0.22152014076709747,0.937908411026001,0.8493556380271912,0.9719969034194946,0.8917149901390076,0.8812350034713745,0.21671323478221893,0.9738897681236267,0.8050122261047363
0.9676929712295532,0.896571159362793,0.8913751244544983,0.22144855558872223,0.9378642439842224,0.8494004607200623,0.9708542227745056,0.8991703987121582,0.8933553695678711,0.20939801633358002,0.9466149210929871,0.8460544347763062
0.9676933884620667,0.8965489268302917,0.8913419842720032,0.22147561609745026,0.9379515647888184,0.8492625951766968,0.9725645184516907,0.9027206301689148,0.897203266620636,0.20459571480751038,0.9497297406196594,0.8504565358161926
