auc,binary_accuracy,f1_score,loss,precision,recall,val_auc,val_binary_accuracy,val_f1_score,val_loss,val_precision,val_recall
0.8013021945953369,0.7028953433036804,0.6799794435501099,0.5102994441986084,0.7365447282791138,0.6316940784454346,0.8550516366958618,0.7456578016281128,0.7306402921676636,0.4673081338405609,0.7761543393135071,0.6904402375221252
0.8015882968902588,0.7031481862068176,0.680853009223938,0.5101416110992432,0.7358781099319458,0.6336949467658997,0.8561175465583801,0.7473713159561157,0.733436107635498,0.4673944413661957,0.7759138345718384,0.6956465840339661
0.8014833927154541,0.7031306624412537,0.6810806393623352,0.5103121399879456,0.7354565858840942,0.6344110369682312,0.8567490577697754,0.7484502792358398,0.7356542944908142,0.4666229486465454,0.7747408747673035,0.7006030082702637
0.8013442158699036,0.7029816508293152,0.6813728213310242,0.5104964375495911,0.734576404094696,0.6355627179145813,0.8564724326133728,0.7484096884727478,0.7351845502853394,0.4675719439983368,0.7756289839744568,0.6990320086479187
0.8012967109680176,0.7029072046279907,0.6815407276153564,0.5105444192886353,0.7340918779373169,0.6362246870994568,0.857254683971405,0.7500590682029724,0.7381921410560608,0.46744340658187866,0.7746489644050598,0.7052920460700989
0.801148533821106,0.7028178572654724,0.6821260452270508,0.5106983184814453,0.7329115867614746,0.638139545917511,0.8572449684143066,0.7496396899223328,0.7362626194953918,0.4670809507369995,0.7774710655212402,0.6994867324829102
0.8010265231132507,0.7027072906494141,0.682256281375885,0.5107505321502686,0.7323936223983765,0.6387612223625183,0.8576806783676147,0.7500090003013611,0.7375555634498596,0.46626853942871094,0.7758759260177612,0.7031265497207642
0.8008342385292053,0.7025306820869446,0.6823766827583313,0.5109572410583496,0.7317015528678894,0.6395061016082764,0.8575968742370605,0.7503620982170105,0.7387922406196594,0.46714165806770325,0.7743404507637024,0.706659197807312
0.8005632162094116,0.702267587184906,0.682163655757904,0.5112366676330566,0.7312984466552734,0.6394357085227966,0.8562563061714172,0.7487432360649109,0.7361899614334106,0.4678198993206024,0.774555504322052,0.7017348408699036
0.8004363179206848,0.7023032307624817,0.6820132732391357,0.5113847851753235,0.7316297292709351,0.6389231085777283,0.8560250401496887,0.7487732768058777,0.7370975613594055,0.4683907628059387,0.7726786136627197,0.7049379348754883
